test_id,runtime_class,variant,elapsed_seconds,pods_ready
t001,kata-fc,normal,21.5,45
t001,kata-fc,normal,22.0,47
t001,kata-fc,normal,22.5,49
t001,kata-fc,normal,23.0,49
t001,kata-fc,normal,23.5,50
t001,kata-fc,normal,24.0,55
t001,kata-fc,normal,24.5,55
t001,kata-fc,normal,25.0,55
t001,kata-fc,normal,25.5,55
t001,kata-fc,normal,26.0,55
t001,kata-fc,normal,26.5,57
t001,kata-fc,normal,27.0,59
t001,kata-fc,normal,27.5,59
t001,kata-fc,normal,28.0,59
t001,kata-fc,normal,28.5,59
t001,kata-fc,normal,29.0,60
t001,kata-fc,normal,29.5,61
t001,kata-fc,normal,30.0,62
t001,kata-fc,normal,30.5,62
t001,kata-fc,normal,31.0,62
t001,kata-fc,normal,31.5,63
t001,kata-fc,normal,32.0,63
t001,kata-fc,normal,32.5,63
t001,kata-fc,normal,33.0,63
t001,kata-fc,normal,33.5,63
t001,kata-fc,normal,34.0,63
t001,kata-fc,normal,34.5,63
t001,kata-fc,normal,35.0,63
t001,kata-fc,normal,35.5,63
t001,kata-fc,normal,36.0,63
t001,kata-fc,normal,36.5,63
t001,kata-fc,normal,37.0,63
t001,kata-fc,normal,37.5,63
t001,kata-fc,normal,38.0,63
t001,kata-fc,normal,38.5,64
t001,kata-fc,normal,39.0,64
t001,kata-fc,normal,39.5,64
t001,kata-fc,normal,40.0,64
t001,kata-fc,normal,40.5,64
t001,kata-fc,normal,41.0,64
t001,kata-fc,normal,41.5,64
t001,kata-fc,normal,42.0,64
t001,kata-fc,normal,42.5,64
t001,kata-fc,normal,43.0,64
t001,kata-fc,normal,43.5,64
t001,kata-fc,normal,44.0,64
t001,kata-fc,normal,44.5,64
t001,kata-fc,normal,45.0,64
t001,kata-fc,normal,45.5,64
t001,kata-fc,normal,46.0,64
t001,kata-fc,normal,46.5,64
t001,kata-fc,normal,47.0,64
t001,kata-fc,normal,47.5,64
t001,kata-fc,normal,48.0,64
t001,kata-fc,normal,48.5,64
t001,kata-fc,normal,49.0,65
t001,runc,normal,0.0,0
t001,runc,normal,0.5,0
t001,runc,normal,1.0,0
t001,runc,normal,1.5,0
t001,runc,normal,2.0,0
t001,runc,normal,2.5,0
t001,runc,normal,3.0,0
t001,runc,normal,3.5,1
t001,runc,normal,4.0,1
t001,runc,normal,4.5,1
t001,runc,normal,5.0,1
t001,runc,normal,5.5,1
t001,runc,normal,6.0,1
t001,runc,normal,6.5,3
t001,runc,normal,7.0,8
t001,runc,normal,7.5,8
t001,runc,normal,8.0,13
t001,runc,normal,8.5,29
t001,runc,normal,9.0,44
t001,runc,normal,9.5,64
t001,runc,normal,10.0,77
t001,runc,normal,10.5,78
t001,runc,normal,11.0,82
t001,runc,normal,11.5,87
t001,runc,normal,12.0,95
t001,runc,normal,12.5,100
t001,runc,normal,13.0,100
t001,runc,normal,13.5,100
t001,runc,normal,14.0,100
t001,runc,normal,14.5,100
t001,runc,normal,15.0,100
t001,runc,normal,15.5,100
t001,runc,normal,16.0,100
t001,runc,normal,16.5,100
t001,runc,normal,17.0,100
t001,runc,normal,17.5,100
t001,runc,normal,18.0,100
t001,runc,normal,18.5,100
t001,runc,normal,19.0,100
t001,runc,normal,19.5,100
t001,runc,normal,20.0,100
t001,runc,normal,20.5,100
t001,runc,normal,21.0,100
t001,runc,normal,21.5,100
t001,runc,normal,22.0,100
t001,runc,normal,22.5,100
t001,runc,normal,23.0,100
t001,runc,normal,23.5,100
t001,runc,normal,24.0,100
t001,runc,normal,24.5,100
t001,runc,normal,25.0,100
t001,runc,normal,25.5,100
t001,runc,normal,26.0,100
t001,runc,normal,26.5,100
t001,runc,normal,27.0,100
t001,runc,normal,27.5,100
t001,runc,normal,28.0,100
t001,runc,normal,28.5,100
t001,runc,normal,29.0,100
t001,runc,normal,29.5,100
t001,runc,normal,30.0,100
t001,urunc,qemu-linux,0.0,0
t001,urunc,qemu-linux,0.5,0
t001,urunc,qemu-linux,1.0,0
t001,urunc,qemu-linux,1.5,0
t001,urunc,qemu-linux,2.0,0
t001,urunc,qemu-linux,2.5,0
t001,urunc,qemu-linux,3.0,0
t001,urunc,qemu-linux,3.5,0
t001,urunc,qemu-linux,4.0,0
t001,urunc,qemu-linux,4.5,0
t001,urunc,qemu-linux,5.0,2
t001,urunc,qemu-linux,5.5,3
t001,urunc,qemu-linux,6.0,5
t001,urunc,qemu-linux,6.5,5
t001,urunc,qemu-linux,7.0,5
t001,urunc,qemu-linux,7.5,6
t001,urunc,qemu-linux,8.0,7
t001,urunc,qemu-linux,8.5,8
t001,urunc,qemu-linux,9.0,9
t001,urunc,qemu-linux,9.5,10
t001,urunc,qemu-linux,10.0,12
t001,urunc,qemu-linux,10.5,27
t001,urunc,qemu-linux,11.0,50
t001,urunc,qemu-linux,11.5,75
t001,urunc,qemu-linux,12.0,96
t001,urunc,qemu-linux,12.5,100
t001,urunc,qemu-linux,13.0,100
t001,urunc,qemu-linux,13.5,100
t001,urunc,qemu-linux,14.0,100
t001,urunc,qemu-linux,14.5,100
t001,urunc,qemu-linux,15.0,100
t001,urunc,qemu-linux,15.5,100
t001,urunc,qemu-linux,16.0,100
t001,urunc,qemu-linux,16.5,100
t001,urunc,qemu-linux,17.0,100
t001,urunc,qemu-linux,17.5,100
t001,urunc,qemu-linux,18.0,100
t001,urunc,qemu-linux,18.5,100
t001,urunc,qemu-linux,19.0,100
t001,urunc,qemu-linux,19.5,100
t001,urunc,qemu-linux,20.0,100
t001,urunc,qemu-linux,20.5,100
t001,urunc,qemu-linux,21.0,100
t001,urunc,qemu-linux,21.5,100
t001,urunc,qemu-linux,22.0,100
t001,urunc,qemu-linux,22.5,100
t001,urunc,qemu-linux,23.0,100
t001,urunc,qemu-linux,23.5,100
t001,urunc,qemu-linux,24.0,100
t001,urunc,qemu-linux,24.5,100
t001,urunc,qemu-linux,25.0,100
t001,urunc,qemu-linux,25.5,100
t001,urunc,qemu-linux,26.0,100
t001,urunc,qemu-linux,26.5,100
t001,urunc,qemu-linux,27.0,100
t001,urunc,qemu-linux,27.5,100
t001,urunc,qemu-linux,28.0,100
t001,urunc,qemu-linux,28.5,100
t001,urunc,qemu-linux,29.0,100
t001,urunc,qemu-linux,29.5,100
t001,urunc,qemu-linux,30.0,100
t001,urunc,firecracker-linux,0.0,0
t001,urunc,firecracker-linux,0.5,0
t001,urunc,firecracker-linux,1.0,0
t001,urunc,firecracker-linux,1.5,0
t001,urunc,firecracker-linux,2.0,0
t001,urunc,firecracker-linux,2.5,0
t001,urunc,firecracker-linux,3.0,0
t001,urunc,firecracker-linux,3.5,0
t001,urunc,firecracker-linux,4.0,0
t001,urunc,firecracker-linux,4.5,0
t001,urunc,firecracker-linux,5.0,0
t001,urunc,firecracker-linux,5.5,0
t001,urunc,firecracker-linux,6.0,0
t001,urunc,firecracker-linux,6.5,0
t001,urunc,firecracker-linux,7.0,0
t001,urunc,firecracker-linux,7.5,4
t001,urunc,firecracker-linux,8.0,7
t001,urunc,firecracker-linux,8.5,13
t001,urunc,firecracker-linux,9.0,18
t001,urunc,firecracker-linux,9.5,21
t001,urunc,firecracker-linux,10.0,65
t001,urunc,firecracker-linux,10.5,89
t001,urunc,firecracker-linux,11.0,100
t001,urunc,firecracker-linux,11.5,100
t001,urunc,firecracker-linux,12.0,100
t001,urunc,firecracker-linux,12.5,100
t001,urunc,firecracker-linux,13.0,100
t001,urunc,firecracker-linux,13.5,100
t001,urunc,firecracker-linux,14.0,100
t001,urunc,firecracker-linux,14.5,100
t001,urunc,firecracker-linux,15.0,100
t001,urunc,firecracker-linux,15.5,100
t001,urunc,firecracker-linux,16.0,100
t001,urunc,firecracker-linux,16.5,100
t001,urunc,firecracker-linux,17.0,100
t001,urunc,firecracker-linux,17.5,100
t001,urunc,firecracker-linux,18.0,100
t001,urunc,firecracker-linux,18.5,100
t001,urunc,firecracker-linux,19.0,100
t001,urunc,firecracker-linux,19.5,100
t001,urunc,firecracker-linux,20.0,100
t001,urunc,firecracker-linux,20.5,100
t001,urunc,firecracker-linux,21.0,100
t001,urunc,firecracker-linux,21.5,100
t001,urunc,firecracker-linux,22.0,100
t001,urunc,firecracker-linux,22.5,100
t001,urunc,firecracker-linux,23.0,100
t001,urunc,firecracker-linux,23.5,100
t001,urunc,firecracker-linux,24.0,100
t001,urunc,firecracker-linux,24.5,100
t001,urunc,firecracker-linux,25.0,100
t001,urunc,firecracker-linux,25.5,100
t001,urunc,firecracker-linux,26.0,100
t001,urunc,firecracker-linux,26.5,100
t001,urunc,firecracker-linux,27.0,100
t001,urunc,firecracker-linux,27.5,100
t001,urunc,firecracker-linux,28.0,100
t001,urunc,firecracker-linux,28.5,100
t001,urunc,firecracker-linux,29.0,100
t001,urunc,firecracker-linux,29.5,100
t001,urunc,firecracker-linux,30.0,100
t001,urunc,qemu-unikraft,0.0,0
t001,urunc,qemu-unikraft,0.5,0
t001,urunc,qemu-unikraft,1.0,0
t001,urunc,qemu-unikraft,1.5,0
t001,urunc,qemu-unikraft,2.0,0
t001,urunc,qemu-unikraft,2.5,0
t001,urunc,qemu-unikraft,3.0,0
t001,urunc,qemu-unikraft,3.5,0
t001,urunc,qemu-unikraft,4.0,0
t001,urunc,qemu-unikraft,4.5,1
t001,urunc,qemu-unikraft,5.0,2
t001,urunc,qemu-unikraft,5.5,2
t001,urunc,qemu-unikraft,6.0,4
t001,urunc,qemu-unikraft,6.5,6
t001,urunc,qemu-unikraft,7.0,7
t001,urunc,qemu-unikraft,7.5,7
t001,urunc,qemu-unikraft,8.0,8
t001,urunc,qemu-unikraft,8.5,9
t001,urunc,qemu-unikraft,9.0,28
t001,urunc,qemu-unikraft,9.5,49
t001,urunc,qemu-unikraft,10.0,76
t001,urunc,qemu-unikraft,10.5,100
t001,urunc,qemu-unikraft,11.0,100
t001,urunc,qemu-unikraft,11.5,100
t001,urunc,qemu-unikraft,12.0,100
t001,urunc,qemu-unikraft,12.5,100
t001,urunc,qemu-unikraft,13.0,100
t001,urunc,qemu-unikraft,13.5,100
t001,urunc,qemu-unikraft,14.0,100
t001,urunc,qemu-unikraft,14.5,100
t001,urunc,qemu-unikraft,15.0,100
t001,urunc,qemu-unikraft,15.5,100
t001,urunc,qemu-unikraft,16.0,100
t001,urunc,qemu-unikraft,16.5,100
t001,urunc,qemu-unikraft,17.0,100
t001,urunc,qemu-unikraft,17.5,100
t001,urunc,qemu-unikraft,18.0,100
t001,urunc,qemu-unikraft,18.5,100
t001,urunc,qemu-unikraft,19.0,100
t001,urunc,qemu-unikraft,19.5,100
t001,urunc,qemu-unikraft,20.0,100
t001,urunc,qemu-unikraft,20.5,100
t001,urunc,qemu-unikraft,21.0,100
t001,urunc,qemu-unikraft,21.5,100
t001,urunc,qemu-unikraft,22.0,100
t001,urunc,qemu-unikraft,22.5,100
t001,urunc,qemu-unikraft,23.0,100
t001,urunc,qemu-unikraft,23.5,100
t001,urunc,qemu-unikraft,24.0,100
t001,urunc,qemu-unikraft,24.5,100
t001,urunc,qemu-unikraft,25.0,100
t001,urunc,qemu-unikraft,25.5,100
t001,urunc,qemu-unikraft,26.0,100
t001,urunc,qemu-unikraft,26.5,100
t001,urunc,qemu-unikraft,27.0,100
t001,urunc,qemu-unikraft,27.5,100
t001,urunc,qemu-unikraft,28.0,100
t001,urunc,qemu-unikraft,28.5,100
t001,urunc,qemu-unikraft,29.0,100
t001,urunc,qemu-unikraft,29.5,100
t001,urunc,qemu-unikraft,30.0,100
t001,urunc,spt-rumprun,0.0,0
t001,urunc,spt-rumprun,0.5,0
t001,urunc,spt-rumprun,1.0,0
t001,urunc,spt-rumprun,1.5,0
t001,urunc,spt-rumprun,2.0,0
t001,urunc,spt-rumprun,2.5,0
t001,urunc,spt-rumprun,3.0,0
t001,urunc,spt-rumprun,3.5,0
t001,urunc,spt-rumprun,4.0,0
t001,urunc,spt-rumprun,4.5,0
t001,urunc,spt-rumprun,5.0,0
t001,urunc,spt-rumprun,5.5,0
t001,urunc,spt-rumprun,6.0,0
t001,urunc,spt-rumprun,6.5,0
t001,urunc,spt-rumprun,7.0,0
t001,urunc,spt-rumprun,7.5,0
t001,urunc,spt-rumprun,8.0,0
t001,urunc,spt-rumprun,8.5,1
t001,urunc,spt-rumprun,9.0,13
t001,urunc,spt-rumprun,9.5,29
t001,urunc,spt-rumprun,10.0,46
t001,urunc,spt-rumprun,10.5,60
t001,urunc,spt-rumprun,11.0,75
t001,urunc,spt-rumprun,11.5,90
t001,urunc,spt-rumprun,12.0,100
t001,urunc,spt-rumprun,12.5,100
t001,urunc,spt-rumprun,13.0,100
t001,urunc,spt-rumprun,13.5,100
t001,urunc,spt-rumprun,14.0,100
t001,urunc,spt-rumprun,14.5,100
t001,urunc,spt-rumprun,15.0,100
t001,urunc,spt-rumprun,15.5,100
t001,urunc,spt-rumprun,16.0,100
t001,urunc,spt-rumprun,16.5,100
t001,urunc,spt-rumprun,17.0,100
t001,urunc,spt-rumprun,17.5,100
t001,urunc,spt-rumprun,18.0,100
t001,urunc,spt-rumprun,18.5,100
t001,urunc,spt-rumprun,19.0,100
t001,urunc,spt-rumprun,19.5,100
t001,urunc,spt-rumprun,20.0,100
t001,urunc,spt-rumprun,20.5,100
t001,urunc,spt-rumprun,21.0,100
t001,urunc,spt-rumprun,21.5,100
t001,urunc,spt-rumprun,22.0,100
t001,urunc,spt-rumprun,22.5,100
t001,urunc,spt-rumprun,23.0,100
t001,urunc,spt-rumprun,23.5,100
t001,urunc,spt-rumprun,24.0,100
t001,urunc,spt-rumprun,24.5,100
t001,urunc,spt-rumprun,25.0,100
t001,urunc,spt-rumprun,25.5,100
t001,urunc,spt-rumprun,26.0,100
t001,urunc,spt-rumprun,26.5,100
t001,urunc,spt-rumprun,27.0,100
t001,urunc,spt-rumprun,27.5,100
t001,urunc,spt-rumprun,28.0,100
t001,urunc,spt-rumprun,28.5,100
t001,urunc,spt-rumprun,29.0,100
t001,urunc,spt-rumprun,29.5,100
t001,urunc,spt-rumprun,30.0,100
t001,urunc,hvt-rumprun,0.0,0
t001,urunc,hvt-rumprun,0.5,0
t001,urunc,hvt-rumprun,1.0,0
t001,urunc,hvt-rumprun,1.5,0
t001,urunc,hvt-rumprun,2.0,0
t001,urunc,hvt-rumprun,2.5,0
t001,urunc,hvt-rumprun,3.0,0
t001,urunc,hvt-rumprun,3.5,0
t001,urunc,hvt-rumprun,4.0,0
t001,urunc,hvt-rumprun,4.5,0
t001,urunc,hvt-rumprun,5.0,0
t001,urunc,hvt-rumprun,5.5,0
t001,urunc,hvt-rumprun,6.0,0
t001,urunc,hvt-rumprun,6.5,1
t001,urunc,hvt-rumprun,7.0,6
t001,urunc,hvt-rumprun,7.5,11
t001,urunc,hvt-rumprun,8.0,17
t001,urunc,hvt-rumprun,8.5,26
t001,urunc,hvt-rumprun,9.0,33
t001,urunc,hvt-rumprun,9.5,39
t001,urunc,hvt-rumprun,10.0,43
t001,urunc,hvt-rumprun,10.5,51
t001,urunc,hvt-rumprun,11.0,65
t001,urunc,hvt-rumprun,11.5,75
t001,urunc,hvt-rumprun,12.0,90
t001,urunc,hvt-rumprun,12.5,100
t001,urunc,hvt-rumprun,13.0,100
t001,urunc,hvt-rumprun,13.5,100
t001,urunc,hvt-rumprun,14.0,100
t001,urunc,hvt-rumprun,14.5,100
t001,urunc,hvt-rumprun,15.0,100
t001,urunc,hvt-rumprun,15.5,100
t001,urunc,hvt-rumprun,16.0,100
t001,urunc,hvt-rumprun,16.5,100
t001,urunc,hvt-rumprun,17.0,100
t001,urunc,hvt-rumprun,17.5,100
t001,urunc,hvt-rumprun,18.0,100
t001,urunc,hvt-rumprun,18.5,100
t001,urunc,hvt-rumprun,19.0,100
t001,urunc,hvt-rumprun,19.5,100
t001,urunc,hvt-rumprun,20.0,100
t001,urunc,hvt-rumprun,20.5,100
t001,urunc,hvt-rumprun,21.0,100
t001,urunc,hvt-rumprun,21.5,100
t001,urunc,hvt-rumprun,22.0,100
t001,urunc,hvt-rumprun,22.5,100
t001,urunc,hvt-rumprun,23.0,100
t001,urunc,hvt-rumprun,23.5,100
t001,urunc,hvt-rumprun,24.0,100
t001,urunc,hvt-rumprun,24.5,100
t001,urunc,hvt-rumprun,25.0,100
t001,urunc,hvt-rumprun,25.5,100
t001,urunc,hvt-rumprun,26.0,100
t001,urunc,hvt-rumprun,26.5,100
t001,urunc,hvt-rumprun,27.0,100
t001,urunc,hvt-rumprun,27.5,100
t001,urunc,hvt-rumprun,28.0,100
t001,urunc,hvt-rumprun,28.5,100
t001,urunc,hvt-rumprun,29.0,100
t001,urunc,hvt-rumprun,29.5,100
t001,urunc,hvt-rumprun,30.0,100
t001,urunc,spt-mirage,0.0,0
t001,urunc,spt-mirage,0.5,0
t001,urunc,spt-mirage,1.0,0
t001,urunc,spt-mirage,1.5,0
t001,urunc,spt-mirage,2.0,0
t001,urunc,spt-mirage,2.5,0
t001,urunc,spt-mirage,3.0,0
t001,urunc,spt-mirage,3.5,0
t001,urunc,spt-mirage,4.0,0
t001,urunc,spt-mirage,4.5,0
t001,urunc,spt-mirage,5.0,1
t001,urunc,spt-mirage,5.5,4
t001,urunc,spt-mirage,6.0,6
t001,urunc,spt-mirage,6.5,9
t001,urunc,spt-mirage,7.0,10
t001,urunc,spt-mirage,7.5,12
t001,urunc,spt-mirage,8.0,20
t001,urunc,spt-mirage,8.5,33
t001,urunc,spt-mirage,9.0,47
t001,urunc,spt-mirage,9.5,70
t001,urunc,spt-mirage,10.0,92
t001,urunc,spt-mirage,10.5,100
t001,urunc,spt-mirage,11.0,100
t001,urunc,spt-mirage,11.5,100
t001,urunc,spt-mirage,12.0,100
t001,urunc,spt-mirage,12.5,100
t001,urunc,spt-mirage,13.0,100
t001,urunc,spt-mirage,13.5,100
t001,urunc,spt-mirage,14.0,100
t001,urunc,spt-mirage,14.5,100
t001,urunc,spt-mirage,15.0,100
t001,urunc,spt-mirage,15.5,100
t001,urunc,spt-mirage,16.0,100
t001,urunc,spt-mirage,16.5,100
t001,urunc,spt-mirage,17.0,100
t001,urunc,spt-mirage,17.5,100
t001,urunc,spt-mirage,18.0,100
t001,urunc,spt-mirage,18.5,100
t001,urunc,spt-mirage,19.0,100
t001,urunc,spt-mirage,19.5,100
t001,urunc,spt-mirage,20.0,100
t001,urunc,spt-mirage,20.5,100
t001,urunc,spt-mirage,21.0,100
t001,urunc,spt-mirage,21.5,100
t001,urunc,spt-mirage,22.0,100
t001,urunc,spt-mirage,22.5,100
t001,urunc,spt-mirage,23.0,100
t001,urunc,spt-mirage,23.5,100
t001,urunc,spt-mirage,24.0,100
t001,urunc,spt-mirage,24.5,100
t001,urunc,spt-mirage,25.0,100
t001,urunc,spt-mirage,25.5,100
t001,urunc,spt-mirage,26.0,100
t001,urunc,spt-mirage,26.5,100
t001,urunc,spt-mirage,27.0,100
t001,urunc,spt-mirage,27.5,100
t001,urunc,spt-mirage,28.0,100
t001,urunc,spt-mirage,28.5,100
t001,urunc,spt-mirage,29.0,100
t001,urunc,spt-mirage,29.5,100
t001,urunc,spt-mirage,30.0,100
t001,urunc,hvt-mirage,0.0,0
t001,urunc,hvt-mirage,0.5,0
t001,urunc,hvt-mirage,1.0,0
t001,urunc,hvt-mirage,1.5,0
t001,urunc,hvt-mirage,2.0,0
t001,urunc,hvt-mirage,2.5,0
t001,urunc,hvt-mirage,3.0,0
t001,urunc,hvt-mirage,3.5,0
t001,urunc,hvt-mirage,4.0,0
t001,urunc,hvt-mirage,4.5,0
t001,urunc,hvt-mirage,5.0,0
t001,urunc,hvt-mirage,5.5,0
t001,urunc,hvt-mirage,6.0,0
t001,urunc,hvt-mirage,6.5,0
t001,urunc,hvt-mirage,7.0,0
t001,urunc,hvt-mirage,7.5,2
t001,urunc,hvt-mirage,8.0,11
t001,urunc,hvt-mirage,8.5,23
t001,urunc,hvt-mirage,9.0,32
t001,urunc,hvt-mirage,9.5,42
t001,urunc,hvt-mirage,10.0,60
t001,urunc,hvt-mirage,10.5,79
t001,urunc,hvt-mirage,11.0,95
t001,urunc,hvt-mirage,11.5,100
t001,urunc,hvt-mirage,12.0,100
t001,urunc,hvt-mirage,12.5,100
t001,urunc,hvt-mirage,13.0,100
t001,urunc,hvt-mirage,13.5,100
t001,urunc,hvt-mirage,14.0,100
t001,urunc,hvt-mirage,14.5,100
t001,urunc,hvt-mirage,15.0,100
t001,urunc,hvt-mirage,15.5,100
t001,urunc,hvt-mirage,16.0,100
t001,urunc,hvt-mirage,16.5,100
t001,urunc,hvt-mirage,17.0,100
t001,urunc,hvt-mirage,17.5,100
t001,urunc,hvt-mirage,18.0,100
t001,urunc,hvt-mirage,18.5,100
t001,urunc,hvt-mirage,19.0,100
t001,urunc,hvt-mirage,19.5,100
t001,urunc,hvt-mirage,20.0,100
t001,urunc,hvt-mirage,20.5,100
t001,urunc,hvt-mirage,21.0,100
t001,urunc,hvt-mirage,21.5,100
t001,urunc,hvt-mirage,22.0,100
t001,urunc,hvt-mirage,22.5,100
t001,urunc,hvt-mirage,23.0,100
t001,urunc,hvt-mirage,23.5,100
t001,urunc,hvt-mirage,24.0,100
t001,urunc,hvt-mirage,24.5,100
t001,urunc,hvt-mirage,25.0,100
t001,urunc,hvt-mirage,25.5,100
t001,urunc,hvt-mirage,26.0,100
t001,urunc,hvt-mirage,26.5,100
t001,urunc,hvt-mirage,27.0,100
t001,urunc,hvt-mirage,27.5,100
t001,urunc,hvt-mirage,28.0,100
t001,urunc,hvt-mirage,28.5,100
t001,urunc,hvt-mirage,29.0,100
t001,urunc,hvt-mirage,29.5,100
t001,urunc,hvt-mirage,30.0,100
